source,target,weight
0,1,8
0,2,5
0,3,2
0,4,6
0,5,11
0,6,3
0,7,21
0,8,5
0,9,7
0,10,1
0,11,3
0,12,5
0,13,2
0,14,3
0,15,4
0,16,2
0,17,1
0,18,7
1,2,4
1,4,4
1,5,4
1,6,8
1,7,12
1,8,12
1,9,3
1,10,2
1,11,2
1,12,7
1,13,5
1,14,1
1,15,3
1,16,4
1,18,5
1,19,1
2,0,1
2,1,1
2,3,3
2,4,1
2,5,4
2,6,4
2,7,8
2,8,10
2,9,1
2,11,1
2,12,4
2,13,6
2,15,2
2,16,2
2,17,3
2,20,1
2,18,4
2,21,3
3,0,1
3,1,2
3,2,3
3,22,1
3,4,1
3,5,3
3,7,3
3,8,3
3,9,2
3,10,2
3,11,1
3,12,3
3,13,2
3,14,4
3,15,1
3,16,1
3,17,1
3,18,2
4,0,1
4,5,5
4,6,2
4,7,6
4,8,5
4,9,1
4,10,2
4,11,1
4,12,1
4,13,3
4,14,1
4,16,1
4,17,1
4,18,4
5,0,2
5,2,1
5,3,1
5,25,5
5,6,11
5,7,3
5,24,6
5,8,6
5,11,4
5,12,2
5,13,2
5,14,1
5,16,6
5,20,1
5,18,7
5,19,1
5,21,1
6,0,4
6,2,1
6,23,1
6,4,2
6,5,3
6,25,1
6,24,2
6,8,9
6,9,1
6,11,4
6,14,2
6,15,4
6,16,4
6,17,3
6,18,3
6,19,2
7,0,1
7,1,2
7,3,1
7,4,6
7,5,4
7,8,17
7,9,3
7,11,6
7,12,5
7,13,8
7,15,2
7,16,5
7,17,2
7,20,1
7,18,4
7,21,1
8,0,1
8,1,1
8,4,1
8,5,2
8,25,1
8,6,2
8,7,1
8,9,6
8,11,3
8,12,4
8,13,4
8,14,7
8,15,6
8,16,4
8,17,5
8,18,7
8,19,2
9,0,3
9,1,2
9,5,1
9,7,2
9,10,3
9,11,1
9,12,2
9,13,2
9,14,3
9,15,1
9,16,1
9,17,1
9,18,4
9,19,1
9,21,1
10,2,1
10,4,2
10,8,3
10,12,1
10,13,2
10,15,2
10,18,4
11,0,1
11,5,2
11,6,2
11,7,2
11,8,1
11,9,1
11,12,8
11,13,2
11,14,2
11,15,2
11,16,3
11,18,1
12,0,1
12,2,1
12,4,1
12,5,5
12,6,6
12,7,3
12,8,1
12,9,1
12,11,1
12,13,1
12,14,1
12,15,1
12,16,1
12,17,1
12,18,1
13,0,1
13,4,2
13,6,1
13,7,2
13,8,2
13,9,1
13,10,2
13,11,1
13,12,1
13,14,3
13,15,1
13,16,3
13,17,1
13,20,1
13,18,12
13,19,1
13,21,1
14,0,1
14,2,1
14,24,2
14,8,1
14,10,1
14,11,4
14,15,7
14,16,3
14,19,1
15,23,7
15,25,1
15,8,2
15,9,1
15,14,1
15,16,5
15,17,2
15,20,1
15,19,1
16,2,2
16,6,2
16,7,1
16,8,1
16,9,4
16,11,1
16,13,1
16,14,1
16,15,3
16,17,5
16,20,1
16,18,3
17,8,1
17,12,1
17,13,1
17,15,2
17,18,9
17,19,2
18,4,1
18,7,1
18,9,2
18,10,3
18,11,3
18,13,1
18,14,2
18,15,2
18,16,1
18,17,1
19,1,1
19,4,2
19,5,1
19,7,1
19,8,1
19,12,1
20,1,2
20,3,1
20,7,1
20,13,4
20,19,1
20,21,9
21,8,1
22,3,7
22,23,1
22,24,2
22,8,3
22,15,1
22,16,1
23,0,2
23,25,8
23,6,12
23,24,1
23,8,7
23,14,8
23,15,3
23,16,3
23,17,2
24,0,2
24,3,1
24,23,3
24,5,1
24,6,2
24,8,1
24,11,1
24,13,5
24,14,3
24,15,3
24,16,1
24,18,1
25,2,1
25,5,2
25,6,2
25,24,1
25,8,2
25,11,1
25,13,1
25,14,3
25,15,3
25,16,2
25,17,2
25,18,1